city_id,city_name,governorate,aqi_grid,latitude,longitude,observed_at,pm2_5,pm10,us_aqi,aqi_category,temperature_c,humidity_pct,wind_speed_kmh
alexandria,Alexandria,Alexandria,alexandria,31.2001,29.9187,2026-09-26 21:00:00,9.4,13.3,44.0,Good,21.2,70.0,4.8
aswan,Aswan,Aswan,aswan,24.0889,32.8998,2026-09-26 21:00:00,93.1,433.1,197.0,Unhealthy,30.8,30.0,19.8
cairo,Cairo,Cairo,cairo_giza,30.0444,31.2357,2026-09-26 21:00:00,13.1,22.1,58.0,Moderate,22.5,67.0,6.5
giza,Giza,Giza,cairo_giza,30.0131,31.2089,2026-09-26 21:00:00,13.1,22.1,58.0,Moderate,22.5,66.0,6.9
luxor,Luxor,Luxor,luxor,25.6872,32.6396,2026-09-26 21:00:00,100.4,446.1,131.0,Unhealthy for sensitive groups,29.4,28.0,10.4
mansoura,Mansoura,Dakahlia,mansoura,31.0409,31.3785,2026-09-26 21:00:00,9.6,19.0,45.0,Good,19.3,76.0,1.9
port_said,Port Said,Port Said,port_said,31.2653,32.3019,2026-09-26 21:00:00,6.1,11.5,47.0,Good,23.0,73.0,4.6
suez,Suez,Suez,suez,29.9668,32.5498,2026-09-26 21:00:00,9.8,14.3,60.0,Moderate,23.9,64.0,7.2
